〇	líng,xīng,yuán
络腮胡子	luò,sāi,hú,zǐ
络绎不绝	luò,yì,bù,jué
荦荦大端	luò,luò,dà,duān
骆驼刺	luò,tuó,cì
骆驿不绝	luò,yì,bù,jué
落不是	luò,bú,shì
落草为寇	luò,cǎo,wéi,kòu
落地窗	luò,dì,chuāng
落地灯	luò,dì,dēng
落地生根	luò,dì,shēng,gēn
落花流水	luò,huā,liú,shuǐ
落花生	luò,huā,shēng
落花无言	luò,huā,wú,yán
落荒而逃	luò,huāng,ér,táo
落荒而走	luò,huāng,ér,zǒu
落井投石	luò,jǐng,tóu,shí
落井下石	luò,jǐng,xià,shí
落阱下石	luò,jǐng,xià,shí
落落大方	luò,luò,dà,fāng
落落寡合	luò,luò,guǎ,hé
落落穆穆	luò,luò,mù,mù
落落难合	luò,luò,nán,hé
落魄不羁	luò,pò,bù,jī
落魄不偶	luo,tuo,bu,ou
落水狗	luò,shuǐ,gǒu
落水管	luò,shuǐ,guǎn
落汤鸡	luò,tāng,jī
落汤螃蟹	luò,tāng,páng,xiè
落拓不羁	luò,tuò,bù,jī
落雁沉鱼	luò,yàn,chén,yú
落叶归根	luò,yè,guī,gēn
落叶树	luò,yè,shù
落叶知秋	luò,yè,zhī,qiū
落英缤纷	luò,yīng,bīn,fēn
落月屋梁	luò,yuè,wū,liáng
落纸云烟	luò,zhǐ,yún,yān
麻痹不仁	má,bì,bù,rén
麻痺不仁	má,bì,bù,rén
麻痹大意	má,bì,dà,yì
麻木不仁	má,mù,bù,rén
马不解鞍	mǎ,bù,jiě,ān
马勃牛溲	mǎ,bó,niú,sōu
马不停蹄	mǎ,bù,tíng,tí
马尘不及	mǎ,chén,bù,jí
马大哈	mǎ,dà,hā
马齿徒长	mǎ,chǐ,tú,zhǎng
马耳春风	mǎ,ěr,chūn,fēng
马耳东风	mǎ,ěr,dōng,fēng
马翻人仰	mǎ,fān,rén,yǎng
马放南山	mǎ,fàng,nán,shān
马革盛尸	mǎ,gé,shèng,shī
马赫数	mǎ,hè,shù
马后炮	mǎ,hòu,pào
马角乌白	mǎ,jiǎo,wū,bái
马角乌头	mǎ,jiǎo,wū,tóu
马克思列宁主义	mǎ,kè,sī,liè,níng,zhǔ,yì
马克思	mǎ,kè,sī
马克思主义	mǎ,kè,sī,zhǔ,yì
马空冀北	mǎ,kōng,jì,běi
马拉松	mǎ,lā,sōng
马拉松赛跑	mǎ,lā,sōng,sài,pǎo
马六甲	mǎ,liù,jiǎ
马龙车水	mǎ,lóng,chē,shuǐ
马面牛头	mǎ,miàn,niú,tóu
马尼拉麻	mǎ,ní,lā,má
马牛其风	mǎ,niú,qí,fēng
马前卒	mǎ,qián,zú
马入华山	mǎ,rù,huá,shān
马上得天下	mǎ,shàng,dé,tiān,xià
马上房子	mǎ,shàng,fáng,zi
马上看花	mǎ,shàng,kàn,huā
马上功成	mǎ,shàng,gōng,chéng
马上墙头	mǎ,shàng,qiáng,tóu
马瘦毛长	mǎ,shòu,máo,cháng
马水车龙	mǎ,shuǐ,chē,lóng
马头琴	mǎ,tóu,qín
马尾松	mǎ,yǐ,sōng
马尾辫	mǎ,yǐ,biàn
马尾藻	mǎ,yǐ,zǎo
马歇尔计划	mǎ,xiē,ěr,jì,huà
马咽车阗	mǎ,yān,chē,tián
马仰人翻	mǎ,yǎng,rén,fān
马壮人强	mǎ,zhuàng,rén,qiáng
马中关五	mǎ,zhōng,guān,wǔ
马足车尘	mǎ,zú,chē,chén
马足龙沙	mǎ,zú,lóng,shā
蚂蟥钉	mǎ,huáng,dīng
蚂蚁搬泰山	mǎ,yǐ,bān,tài,shān
蚂蚁啃骨头	mǎ,yǐ,kěn,gú,tou
蚂蚁缘槐	mǎ,yǐ,yuán,huái
骂不绝口	mà,bù,jué,kǒu
骂大街	mà,dà,jiē
骂骂咧咧	mà,mà,liē,liē
骂天扯地	mà,tiān,chě,dì
埋轮破柱	mái,lún,pò,zhù
骂天咒地	mà,tiān,zhòu,dì
埋三怨四	mán,sān,yuàn,sì
埋声晦迹	mái,shēng,huì,jì
埋天怨地	mán,tiān,yuàn,dì
埋头顾影	mái,tóu,gù,yǐng
埋头苦干	mái,tóu,kǔ,gàn
买得起	mǎi,de,qǐ
买椟还珠	mǎi,dú,huán,zhū
买关节	mǎi,guān,jié
买空卖空	mǎi,kōng,mài,kōng
买上告下	mǎi,shàng,gào,xià
买上嘱下	mǎi,shàng,zhǔ,xià
买铁思金	mǎi,tiě,sī,jīn
买王得羊	mǎi,wáng,dé,yáng
买笑追欢	mǎi,xiào,zhuī,huān
麦饭石	mài,fàn,shí
麦克风	mài,kè,fēng
卖大号	mài,dà,hào
卖儿鬻女	mài,ér,yù,nǚ
卖方市场	mài,fāng,shì,chǎng
卖富差贫	mài,fù,chà,pín
卖狗皮膏药	mài,gǒu,pí,gāo,yào
卖乖弄俏	mài,guāi,nòng,qiào
卖狗悬羊	mài,gǒu,xuán,yáng
卖关节	mài,guān,jié
卖空买空	mài,kōng,mǎi,kōng
卖李钻核	mài,lǐ,zuān,hé
卖履分香	mài,lǚ,fēn,xiāng
卖男鬻女	mài,nán,yù,nǚ
卖俏行奸	mài,qiào,xíng,jiān
卖妻鬻子	mài,qī,yù,zǐ
卖俏迎奸	mài,qiào,yíng,jiān
卖身契	mài,shēn,qì
卖头卖脚	mài,tóu,mài,jiǎo
卖笑追欢	mài,xiào,zhuī,huān
脉动电流	mài,dòng,diàn,liú
脉脉含情	mò,mò,hán,qíng
脉脉相通	mài,mài,xiāng,tōng
蛮不讲理	mán,bù,jiǎng,lǐ
蛮触相争	mán,chù,xiāng,zhēng
蛮横无理	mán,hèng,wú,lǐ
蛮烟瘴雨	mán,yān,zhàng,yǔ
瞒上不瞒下	mán,shàng,bù,mán,xià
瞒上欺下	mán,shàng,qī,xià
瞒神弄鬼	mán,shén,nòng,guǐ
瞒天大谎	mán,tiān,dà,huǎng
瞒天过海	mán,tiān,guò,hǎi
瞒天瞒地	mán,tiān,mán,dì
瞒天昧地	mán,tiān,mèi,dì
瞒天讨价	mán,tiān,tǎo,jià
瞒天要价	mán,tiān,yào,jià
满不在乎	mǎn,bù,zài,hū
瞒心昧己	mán,xīn,mèi,jǐ
满不在意	mǎn,bù,zài,yì
满城风雨	mǎn,chéng,fēng,yǔ
满打满算	mǎn,dǎ,mǎn,suàn
满而不溢	mǎn,ér,bù,yì
满腹狐疑	mǎn,fù,hú,yí
满腹经纶	mǎn,fù,jīng,lún
满腹牢骚	mǎn,fù,láo,sāo
满腹疑团	mǎn,fù,yí,tuán
满怀信心	mǎn,huái,xìn,xīn
满江红	mǎn,jiāng,hóng
满脸春风	mǎn,liǎn,chūn,fēng
满满当当	mǎn,mǎn,dāng,dāng
满面春风	mǎn,miàn,chūn,fēng
满面红光	mǎn,miàn,hóng,guāng
满目凄凉	mǎn,mù,qī,liáng
满堂红	mǎn,táng,hóng
满天星斗	mǎn,tiān,xīng,dǒu
满纸空言	mǎn,zhǐ,kōng,yán
满袖春风	mǎn,xiù,chūn,fēng
满载而归	mǎn,zài,ér,guī
满坐风生	mǎn,zuò,fēng,shēng
满座风生	mǎn,zuò,fēng,shēng
谩不经意	màn,bù,jīng,yì
谩藏诲盗	màn,cáng,huì,dào
谩辞哗说	màn,cí,huá,shuō
谩天谩地	màn,tiān,màn,dì
谩天昧地	mán,tiān,mèi,dì
慢藏诲盗	màn,cáng,huì,dào
慢条丝礼	màn,tiáo,sī,lǐ
慢条斯礼	màn,tiáo,sī,lǐ
慢条斯理	màn,tiáo,sī,lǐ
慢条厮礼	màn,tiáo,sī,lǐ
漫不加意	màn,bù,jiā,yì
漫不经心	màn,bù,jīng,xīn
漫不经意	màn,bù,jīng,yì
漫藏诲盗	màn,cáng,huì,dào
漫地漫天	màn,dì,màn,tiān
漫反射	màn,fǎn,shè
漫山塞野	màn,shān,sāi,yě
漫天大谎	màn,tiān,dà,huǎng
漫天盖地	màn,tiān,gài,dì
漫天叫价	màn,tiān,jiào,jià
漫天过海	màn,tiān,guò,hǎi
漫天开价	màn,tiān,kāi,jià
漫天掩地	màn,tiān,yǎn,dì
漫天要价	màn,tiān,yào,jià
漫天匝地	màn,tiān,zā,dì
漫条斯理	màn,tiáo,sī,lǐ
蔓草难除	màn,cǎo,nán,chú
蔓蔓日茂	màn,màn,rì,mào
蔓生植物	màn,shēng,zhí,wù
蔓引株求	màn,yǐn,zhū,qiú
忙不迭	máng,bù,dié
忙不择价	máng,bù,zé,jià
忙忙碌碌	máng,máng,lù,lù
忙中有失	máng,zhōng,yǒu,shī
芒刺在背	máng,cì,zài,bèi
芒寒色正	máng,hán,sè,zhèng
尨眉皓发	máng,méi,hào,fà
盲风怪雨	máng,fēng,guài,yǔ
盲风暴雨	máng,fēng,bào,yǔ
盲风妒雨	máng,fēng,dù,yǔ
盲风怪云	máng,fēng,guài,yún
盲风涩雨	máng,fēng,sè,yǔ
盲风晦雨	máng,fēng,huì,yǔ
盲人把烛	máng,rén,bǎ,zhú
盲人说象	máng,rén,shuō,xiàng
盲翁扪钥	máng,wēng,mén,yào
盲者得镜	máng,zhě,dé,jìng
茫然不解	máng,rán,bù,jiě
茫然若失	máng,rán,ruò,shī
茫无所知	máng,wú,suǒ,zhī
茫无头绪	máng,wú,tóu,xù
蟒袍玉带	mǎng,páo,yù,dài
猫哭老鼠	māo,kū,lǎo,shǔ
猫噬鹦鹉	māo,shì,yīng,wǔ
猫鼠同处	māo,shǔ,tóng,chǔ
猫鼠同乳	māo,shǔ,tóng,rǔ
猫鼠同眠	māo,shǔ,tóng,mián
猫头鹰	māo,tóu,yīng
毛地黄	máo,dì,huáng
毛发不爽	máo,fā,bù,shuǎng
毛发丝粟	máo,fà,sī,sù
毛发倒竖	máo,fā,dǎo,shù
毛发悚然	máo,fā,sǒng,rán
毛发之功	máo,fà,zhī,gōng
毛发耸然	máo,fā,sǒng,rán
毛骨悚然	máo,gǔ,sǒng,rán
毛骨耸然	máo,gǔ,sǒng,rán
毛骨竦然	máo,gǔ,sǒng,rán
毛巾被	máo,jīn,bèi
毛利率	máo,lì,lǜ
毛毛雨	máo,máo,yǔ
毛南族	máo,nán,zú
毛森骨立	máo,sēn,gǔ,lì
毛头毛脑	máo,tóu,máo,nǎo
毛遂堕井	máo,suí,duò,jǐng
毛头小子	máo,tóu,xiǎo,zi
毛羽零落	máo,yǔ,líng,luò
毛丫头	máo,yā,tou
毛泽东	máo,zé,dōng
毛泽东思想	máo,zé,dōng,sī,xiǎng
毛泽东选集	máo,zé,dōng,xuǎn,jí
毛织品	máo,zhī,pǐn
茅塞顿开	máo,sè,dùn,kāi
矛盾论	máo,dùn,lùn
茅台酒	máo,tái,jiǔ
茅屋采椽	máo,wū,cǎi,chuán
铆钉枪	mǎo,dīng,qiāng
铆劲儿	mǎo,jìn,er
冒大不韪	mào,dà,bù,wěi
冒风险	mào,fēng,xiǎn
冒尖户	mào,jiān,hù
冒名顶替	mào,míng,dǐng,tì
冒冒失失	mào,mào,shī,shī
冒名接脚	mào,míng,jiě,jiǎo
冒牌货	mào,pái,huò
冒失鬼	mào,shī,guǐ
冒天下之大不韪	mào,tiān,xià,zhī,dà,bù,wéi
冒险家	mào,xiǎn,jiā
贸首之仇	mào,shǒu,zhī,chóu
贸易风	mào,yì,fēng
貌不惊人	mào,bù,jīng,rén
貌合神离	mào,hé,shén,lí
貌合情离	mào,hé,qíng,lí
貌合心离	mào,hé,xīn,lí
貌合行离	mào,hé,xíng,lí
貌合形离	mào,hé,xíng,lí
貌离神合	mào,lí,shén,hé
貌似强大	mào,sì,qiáng,dà
没查没利	méi,chá,méi,lì
没边儿	méi,biān,ér
没齿难忘	mò,chǐ,nán,wàng
没齿不忘	mò,chǐ,bù,wàng
没齿无怨	mò,chǐ,wú,yuàn
没词儿	méi,cí,ér
没出息	méi,chū,xī
没大没小	méi,dà,méi,xiǎo
没颠没倒	méi,diān,méi,dǎo
没多少	méi,duō,shǎo
没而不朽	méi,ér,bù,xiǔ
没法儿	méi,fǎ,ér
没法没天	méi,fǎ,méi,tiān
没法奈何	méi,fǎ,nài,hé
没关系	méi,guān,xì
没好气	méi,hǎo,qì
没计奈何	méi,jì,nài,hé
没金铩羽	méi,jīn,shā,yǔ
没金饮羽	mò,jīn,yǐn,yǔ
没精打彩	méi,jīng,dǎ,cǎi
没精打采	méi,jīng,dǎ,cǎi
没精没彩	méi,jīng,méi,cǎi
没精塌彩	méi,jīng,tā,cǎi
没可奈何	méi,kě,nài,hé
没里没外	méi,lǐ,méi,wài
没来由	méi,lái,yóu
没毛大虫	méi,máo,dà,chóng
没没无闻	mò,mò,wú,wén
没眉没眼	méi,méi,méi,yǎn
没门儿	méi,mén,ér
没奈何	mò,nài,hé
没皮没脸	méi,pí,méi,liǎn
没谱儿	méi,pǔ,er
没轻没重	méi,qīng,méi,zhòng
没日没夜	méi,rì,méi,yè
没上没下	méi,shàng,méi,xià
没深没浅	méi,shēn,méi,qiǎn
没什么	méi,shén,me
没石饮羽	méi,shí,yǐn,yǔ
没世不忘	mò,shì,bù,wàng
没世难忘	mò,shì,nán,wàng
没世不渝	méi,shì,bù,yú
没世穷年	méi,shì,qióng,nián
没世无称	méi,shì,wú,chēng
没世无闻	méi,shì,wú,wén
没事儿	méi,shì,ér
没事人	méi,shì,rén
没头苍蝇	méi,tóu,cāng,ying
没头没脸	méi,tóu,méi,liǎn
没头没脑	méi,tóu,méi,nǎo
没头没尾	méi,tóu,mò,wěi
没头脑	méi,tóu,nǎo
没完没了	méi,wán,méi,liǎo
没卫饮羽	méi,wèi,yǐn,yǔ
没屋架梁	méi,wū,jià,liáng
没心没肺	méi,xīn,méi,fèi
没影儿	méi,yǐng,ér
没意思	méi,yì,sī
没衷一是	mò,zhōng,yī,shì
眉毛胡子一把抓	méi,máo,hú,zi,yī,bǎ,zhuā
眉睫之内	méi,jié,zhī,nèi
眉目传情	méi,mù,chuán,qíng
眉头不伸	méi,tóu,bù,shēn
眉语目笑	méi,yǔ,mù,xiào
眉头眼尾	méi,tóu,yǎn,wěi
梅妻鹤子	méi,qī,hè,zǐ
煤矸石	méi,gān,shí
煤核儿	méi,hú,ér
每饭不忘	měi,fàn,bù,wàng
美不胜收	měi,bù,shèng,shōu
美景良辰	měi,jǐng,liáng,chén
美女簪花	měi,nǚ,zān,huā
美其名曰	měi,qí,míng,yuē
美如冠玉	měi,rú,guān,yù
美容术	měi,róng,shù
美食家	měi,shí,jiā
美术片	měi,shù,piàn
美术字	měi,shù,zì
美言不信	měi,yán,bù,xìn
美中不足	měi,zhōng,bù,zú
昧地瞒天	mèi,dì,mán,tiān
昧地谩天	mèi,dì,mán,tiān
昧己瞒心	mèi,jǐ,mán,xīn
袂云汗雨	mèi,yún,hàn,yǔ
门不停宾	mén,bù,tíng,bīn
门不夜关	mén,bù,yè,guān
门殚户尽	mén,dān,hù,jìn
门不夜扃	mén,bù,yè,jiōng
门单户薄	mén,dān,hù,bó
门当户对	mén,dāng,hù,duì
门到户说	mén,dào,hù,shuō
门户之见	mén,hù,zhī,jiàn
门捷列夫	mén,jié,liè,fū
门禁森严	mén,jìn,sēn,yán
门静脉	mén,jìng,mài
门堪罗雀	mén,kān,luó,què
门可罗雀	mén,kě,luó,què
门可张罗	mén,kě,zhāng,luó
门衰祚薄	mén,shuāi,zuò,báo
门庭若市	mén,tíng,ruò,shì
扪参历井	mén,shēn,lì,jǐng
闷沉沉	mèn,chén,chén
闷罐车	mèn,guàn,chē
闷海愁山	mèn,hǎi,chóu,shān
闷葫芦	mèn,hú,lú
闷闷不乐	mèn,mèn,bù,lè
闷头儿	mèn,tou,er
闷子车	mèn,zǐ,chē
盟兄弟	méng,xiōng,dì
蒙得维的亚	méng,de,wéi,de,yà
蒙古包	měng,gǔ,bāo
蒙古人种	měng,gǔ,rén,zhǒng
蒙古族	měng,gǔ,zú
蒙汗药	méng,hàn,yào
蒙混过关	méng,hùn,guò,guān
蒙昧无知	méng,mèi,wú,zhī
蒙昧主义	méng,mèi,zhǔ,yì
蒙袂辑屦	méng,mèi,jí,jù
蒙蒙亮	méng,mēng,liàng
蒙蒙黑	mēng,mēng,hēi
蒙太奇	méng,tài,qí
蒙头转向	mēng,tóu,zhuàn,xiàng
蒙以养正	méng,yǐ,yǎng,zhèng
蒙在鼓里	méng,zài,gǔ,lǐ
孟加拉国	mèng,jiā,lā,guó
孟什维克	mèng,shí,wéi,kè
梦幻泡影	mèng,huàn,pào,yǐng
梦魂颠倒	mèng,hún,diān,dǎo
梦见周公	mèng,jiàn,zhōu,gōng
梦里南轲	mèng,lǐ,nán,kē
梦撒寮丁	mèng,sā,liáo,dīng
梦撒撩丁	mèng,sā,liáo,dīng
梦想颠倒	mèng,xiǎng,diān,dǎo
梦中说梦	mèng,zhōng,shuō,mèng
弥缝其阙	mí,féng,qí,què
弥勒佛	mí,lè,fó
弥留之际	mí,liú,zhī,jì
弥日累夜	mí,rì,lèi,yè
弥山亘野	mí,shān,gèn,yě
弥天大谎	mí,tiān,dà,huǎng
弥天大罪	mí,tiān,dà,zuì
弥天大祸	mí,tiān,dà,huò
迷而不反	mí,ér,bù,fǎn
迷而不返	mí,ér,bù,fǎn
迷而知反	mí,ér,zhī,fǎn
迷而知返	mí,ér,zhī,fǎn
迷魂汤	mí,hún,tāng
迷惑不解	mí,huò,bù,jiě
迷恋骸骨	mí,liàn,hài,gǔ
迷迷糊糊	mí,mí,hu,hū
迷天大谎	mí,tiān,dà,huǎng
迷头认影	mí,tóu,rèn,yǐng
迷天大罪	mí,tiān,dà,zuì
迷涂知反	mí,tú,zhī,fǎn
迷途知反	mí,tú,zhī,fǎn
迷途知返	mí,tú,zhī,fǎn
糜躯碎首	mí,qū,suì,shǒu
靡坚不摧	mí,jiān,bù,cuī
靡靡之乐	mǐ,mǐ,zhī,yuè
靡然成风	mí,rán,chéng,fēng
靡然顺风	mí,rán,shùn,fēng
靡然从风	mǐ,rán,cóng,fēng
靡然乡风	mí,rán,xiāng,fēng
靡然向风	mí,rán,xiàng,fēng
靡所底止	mí,suǒ,dǐ,zhǐ
靡所适从	mí,suǒ,shì,cóng
靡衣偷食	mǐ,yī,tōu,shí
靡衣媮食	mǐ,yī,tōu,shí
靡衣玉食	mí,yī,yù,shí
靡有孑遗	mǐ,yǒu,jié,yí
靡知所措	mí,zhī,suǒ,cuò
秘而不露	mì,ér,bù,lù
泌尿系统	mì,niào,xì,tǒng
秘而不宣	mì,ér,bù,xuān
秘而不言	mì,ér,bù,yán
密不通风	mì,bù,tōng,fēng
密约偷期	mì,yuē,tōu,qī
密云不雨	mì,yún,bù,yǔ
幂级数	mì,jí,shù
蜜里调油	mì,lǐ,tiáo,yóu
眠花宿柳	mián,huā,sù,liǔ
眠花藉柳	mián,huā,jiè,liǔ
眠云卧石	mián,yún,wò,shí
眠思梦想	mián,sī,mèng,xiǎng
绵里薄材	mián,lǐ,bó,cái
绵里藏针	mián,lǐ,cáng,zhēn
绵力薄材	mián,lì,bó,cái
绵绵不断	mián,mián,bù,duàn
绵绵不绝	mián,mián,bù,jué
绵延不断	mián,yán,bù,duàn
棉大衣	mián,dà,yī
绵言细语	mián,yán,xì,yǔ
棉红蜘蛛	mián,hóng,zhī,zhū
棉织品	mián,zhī,pǐn
免不得	miǎn,bù,dé
免不了	miǎn,bù,liǎo
黾穴鸲巢	měng,xué,qú,cháo
俛拾仰取	fǔ,shí,yǎng,qǔ
勉勉强强	miǎn,miǎn,qiǎng,qiáng
勉为其难	miǎn,wéi,qí,nán
腼颜事仇	miǎn,yán,shì,chóu
面包车	miàn,bāo,chē
面北眉南	miàn,běi,méi,nán
面壁磨砖	miàn,bì,mó,zhuān
面从腹诽	miàn,cóng,fù,fěi
面不改色	miàn,bù,gǎi,sè
面不改容	miàn,bù,gǎi,róng
面红耳热	miàn,hóng,ěr,rè
面红耳赤	miàn,hóng,ěr,chì
面红颈赤	miàn,hóng,jǐng,chì
面红面赤	miàn,hóng,miàn,chì
面红面绿	miàn,hóng,miàn,lǜ
面面观	miàn,miàn,guān
面面厮觑	miàn,miàn,sī,qù
面面相睹	miàn,miàn,xiāng,dǔ
面面相看	miàn,miàn,xiāng,kàn
面面相窥	miàn,miàn,xiāng,kuī
面面相觑	miàn,miàn,xiāng,qù
面命耳提	miàn,mìng,ěr,tí
面片儿	miàn,piān,er
面目可憎	miàn,mù,kě,zēng
面如冠玉	miàn,rú,guān,yù
面若死灰	miàn,ruò,sǐ,huī
面是背非	miàn,shì,bèi,fēi
面似靴皮	miàn,sì,xuē,pí
面有菜色	miàn,yǒu,cài,sè
面有难色	miàn,yǒu,nán,sè
面誉背毁	miàn,yù,bèi,huǐ
面谀背毁	miàn,yú,bèi,huǐ
面誉背非	miàn,yù,bèi,fēi
面折廷争	miàn,zhé,tíng,zhēng
面折廷诤	miàn,shé,tíng,zhèng
苗而不秀	miáo,ér,bù,xiù
面争庭论	miàn,zhēng,tíng,lùn
面折庭争	miàn,shé,tíng,zhēng
描头画角	miáo,tóu,huà,jiǎo
描写画角	miáo,xiě,huà,jiǎo
渺无音信	miǎo,wú,yīn,xìn
渺不足道	miǎo,bù,zú,dào
邈若河汉	miǎo,ruò,hé,hàn
邈若河山	miǎo,ruò,hé,shān
邈若山河	miǎo,ruò,shān,hé
妙不可言	miào,bù,kě,yán
妙处不传	miào,chù,bù,chuán
妙趣横生	miào,qù,héng,shēng
妙手偶得	miào,shǒu,ǒu,dé
妙手空空	miào,shǒu,kōng,kōng
妙言要道	miào,yán,yào,dào
妙语解烦	miào,yǔ,jiě,fán
妙语解颐	miào,yǔ,jiě,yí
妙语惊人	miào,yǔ,jīng,rén
妙语连珠	miào,yǔ,lián,zhū
乜斜缠帐	niè,xié,chán,zhàng
灭此朝食	miè,cǐ,zhāo,shí
灭景追风	miè,yǐng,zhuī,fēng
民办公助	mín,bàn,gōng,zhù
民胞物与	mín,bāo,wù,yǔ
民保于信	mín,bǎo,yú,xìn
民不堪命	mín,bù,kān,mìng
民不聊生	mín,bù,liáo,shēng
民淳俗厚	mín,chún,sú,hòu
民富国强	mín,fù,guó,qiáng
民膏民脂	mín,gāo,mín,zhī
民和年丰	mín,hé,nián,fēng
民和年稔	mín,hé,nián,rěn
民间故事	mín,jiān,gù,shì
民间文学	mín,jiān,wén,xué
民间艺术	mín,jiān,yì,shù
民穷财尽	mín,qióng,cái,jìn
民穷财匮	mín,qióng,cái,kuì
民心不壹	mín,xīn,bù,yī
民以食为天	mín,yǐ,shí,wéi,tiān
民殷财阜	mín,yīn,cái,fù
民殷国富	mín,yīn,guó,fù
民有菜色	mín,yǒu,cài,sè
民贼独夫	mín,zéi,dú,fū
民脂民膏	mín,zhī,mín,gāo
民主集中制	mín,zhǔ,jí,zhōng,zhì
民族共同语	mín,zú,gòng,tóng,yǔ
闵乱思治	mǐn,luàn,sī,zhì
闽南话	mǐn,nán,huà
闽北话	mǐn,běi,huà
名不符实	míng,bù,fú,shí
名不副实	míng,bù,fù,shí
名不虚传	míng,bù,xū,chuán
名不虚得	míng,bù,xū,dé
名不虚立	míng,bù,xū,lì
名垂万古	míng,chuí,wàn,gǔ
名从主人	míng,cóng,zhǔ,rén
名德重望	míng,dé,zhòng,wàng
名存实亡	míng,cún,shí,wáng
名符其实	míng,fú,qí,shí
名副其实	míng,fù,qí,shí
名高难副	míng,gāo,nán,fù
名过其实	míng,guò,qí,shí
名利场	míng,lì,chǎng
名落孙山	míng,luò,sūn,shān
名目繁多	míng,mù,fán,duō
名山大川	míng,shān,dà,chuān
名声过实	míng,shēng,guò,shí
名声籍甚	míng,shēng,jí,shèn
名实难副	míng,shí,nán,fù
名实相副	míng,shí,xiāng,fù
名实相符	míng,shí,xiāng,fú
名士风流	míng,shì,fēng,liú
名同实异	míng,tóng,shí,yì
名我固当	ming,wo,gu,dang
名正言顺	míng,zhèng,yán,shùn
名正理顺	míng,zhèng,lǐ,shùn
名重一时	míng,zhòng,yī,shí
明白了当	míng,bái,liǎo,dàng
明摆着	míng,bǎi,zhe
明查暗访	míng,chá,àn,fǎng
明耻教战	míng,chǐ,jiào,zhàn
明窗净几	míng,chuāng,jìng,jī
明儿个	míng,ér,gè
明法审令	míng,fǎ,shěn,lìng
明发不寐	míng,fā,bù,mèi
明公正道	míng,gōng,zhèng,dào
明公正气	míng,gōng,zhèng,qì
明公正义	míng,gōng,zhèng,yì
明晃晃	míng,huǎng,huǎng
明婚正配	míng,hūn,zhèng,pèi
明婚正娶	míng,hūn,zhèng,qǔ
明见万里	míng,jiàn,wàn,lǐ
明角灯	míng,jiǎo,dēng
明教不变	míng,jiào,bù,biàn
明媒正娶	míng,méi,zhèng,qǔ
明媒正礼	míng,méi,zhèng,lǐ
明抢暗偷	míng,qiǎng,àn,tōu
明人不做暗事	míng,rén,bù,zuò,àn,shì
明若观火	míng,ruò,guān,huǒ
明赏不费	míng,shǎng,bù,fèi
明升暗降	míng,shēng,àn,jiàng
明堂正道	míng,táng,zhèng,dào
明心见性	míng,xīn,jiàn,xìng
明信片	míng,xìn,piàn
明刑弼教	míng,xíng,bì,jiào
明刑不戮	míng,xíng,bù,lù
明验大效	míng,yàn,dà,xiào
明扬侧陋	míng,yáng,cè,lòu
明月清风	míng,yuè,qīng,fēng
明昭昏蒙	míng,zhāo,hūn,méng
明争暗斗	míng,zhēng,àn,dòu
明正典刑	míng,zhèng,diǎn,xíng
明知故问	míng,zhī,gù,wèn
明知故犯	míng,zhī,gù,fàn
明珠弹雀	míng,zhū,tán,què
鸣不平	míng,bù,píng
鸣凤朝阳	míng,fèng,zhāo,yáng
鸣鹤之应	míng,hè,zhī,yīng
鸣锣喝道	míng,luó,hè,dào
鸣野食苹	míng,yě,shí,píng
冥漠之都	míng,mò,zhī,dōu
鸣钟食鼎	míng,zhōng,shí,dǐng
冥思苦索	míng,sī,kǔ,suǒ
冥思苦想	míng,sī,kǔ,xiǎng
冥顽不灵	míng,wán,bù,líng
冥王星	míng,wáng,xīng
冥行盲索	míng,xíng,máng,suǒ
冥行擿埴	míng,xíng,zhì,zhí
冥昭瞢闇	míng,zhāo,méng,àn
铭肤镂骨	míng,fū,lòu,gǔ
铭感不忘	míng,gǎn,bù,wàng
铭感五内	míng,gǎn,wǔ,nèi
铭肌镂骨	míng,jī,lòu,gǔ
铭记不忘	míng,jì,bù,wàng
铭心刻骨	míng,xīn,kè,gǔ
铭心镂骨	míng,xīn,lòu,gǔ
瞑思苦想	míng,sī,kǔ,xiǎng
酩酊大醉	mǐng,dǐng,dà,zuì
酩酊烂醉	mǐng,dǐng,làn,zuì
命薄缘悭	mìng,báo,yuán,qiān
命令句	mìng,lìng,jù
命令主义	mìng,lìng,zhǔ,yì
命若悬丝	mìng,ruò,xuán,sī
命中注定	mìng,zhōng,zhù,dìng
命中率	mìng,zhòng,lǜ
谬采虚声	miù,cǎi,xū,shēng
谬采虚誉	miù,cǎi,xū,yù
谬托知己	miù,tuō,zhī,jǐ
谬妄无稽	miù,wàng,wú,jī
谬种流传	miù,zhǒng,liú,chuán
缪种流传	miù,zhǒng,liú,chuán
摸不着	mō,bù,zháo
摸不着边	mō,bù,zhuó,biān
摸不着头脑	mō,bù,zháo,tóu,nǎo
摸金校尉	mō,jīn,xiào,wèi
摸门不着	mō,mén,bù,zháo
摸头不着	mō,tóu,bù,zháo
摸着石头过河	mō,zhe,shí,tou,guò,hé
模棱两端	mó,léng,liǎng,duān
模模糊糊	mó,mó,hu,hū
模棱两可	mó,léng,liǎng,kě
模山范水	mó,shān,fàn,shuǐ
模式识别	mó,shì,shí,bié
模特儿	mó,tè,ér
摩擦力	mó,cā,lì
摩顶放踵	mó,dǐng,fàng,zhǒng
摩顶至踵	mó,dǐng,zhì,zhǒng
